urgency_level	triage_case_count	avg_wait_minutes	hospitalization_percentage	referral_department	referral_count
1	14	16.5000	100.00	Παθολογική	14
1	13	15.6154	100.00	Ογκολογία	13
1	13	14.6154	0.00	Χωρίς παραπομπή	0
2	14	23.5000	100.00	Καρδιολογία	14
2	13	24.6154	100.00	Πνευμονολογία	13
2	13	22.3846	0.00	Χωρίς παραπομπή	0
3	13	31.3846	100.00	Νευρολογία	13
3	13	32.6154	100.00	Χειρουργική	13
3	1	31.0000	100.00	Καρδιολογία	1
3	13	30.3846	0.00	Χωρίς παραπομπή	0
4	13	39.3846	100.00	Γαστρεντερολογία	13
4	13	40.3846	100.00	Παιδιατρική	13
4	14	38.5000	0.00	Χωρίς παραπομπή	0
5	13	47.3846	100.00	Επείγοντα	13
5	13	48.3846	100.00	ΩΡΛ	13
5	1	49.0000	100.00	Καρδιολογία	1
5	13	46.6154	0.00	Χωρίς παραπομπή	0
